city_id,city_name,country,continent,population,regulatory_status,market_competition,number_of_drivers,number_of_rides,avg_fare,avg_wait_time_min,uber_services,major_competitors
9d978b1c-6617-4cf6-95c4-95dc9a248d70,Port Joseph,Senegal,South America,4981867,Restricted,Medium,15141,84106,27.51,3.71,UberX,Grab
b7408700-0d17-4705-920d-26a080d0e4a5,Port Shannonside,France,Europe,4901993,Banned,Low,23664,209575,64.41,17.34,UberX,Local Taxis
3aecee16-ccd8-4805-881a-19e1095cccd7,Lake Donnaville,Marshall Islands,South America,2177603,Restricted,Low,9516,19003,195.31,6.58,UberPool,Lyft
ac3579e7-9413-4035-bc01-196de9265655,Port Teresaborough,Paraguay,Europe,7249966,Allowed,Medium,49540,437377,80.3,10.78,UberPool,Local Taxis
1e597caa-9833-4731-87ba-630539630161,Glennfurt,New Caledonia,Europe,7497874,Allowed,High,16745,108717,70.67,5.16,UberX,Local Taxis
ebcb9f60-0c76-472e-8aa3-ff690d7bf71a,East Caitlinside,Belize,Africa,5076291,Restricted,Medium,18390,238741,78.99,13.12,UberEats,Lyft
1d3cc53c-17ae-48e1-ba7f-0af7f327b503,East Wendyside,Vanuatu,Asia,8346997,Banned,High,26449,141610,52.46,18.03,UberEats,Ola
89b3c4f3-8c3f-41bc-a334-45e464e67673,Lake Lisa,South Africa,Asia,7208637,Allowed,High,48375,42437,16.96,16.94,UberPool,Ola
3a31ae35-8485-46bb-a30e-8c8e112ef9c2,Port Douglas,Antarctica (the territory South of 60 deg S),Australia,1132190,Restricted,Low,8349,315888,53.37,2.01,UberPool,Local Taxis
00f30ae4-a8ce-4ed2-a23b-b14f12eb3dbf,West Heathermouth,British Indian Ocean Territory (Chagos Archipelago),Africa,5783333,Restricted,Medium,34932,414572,83.62,15.48,UberX,Grab
2744fe1f-3299-4dc4-b3f9-5d2be2f9f17f,Allisonview,Uganda,Australia,6012440,Banned,Medium,44586,377115,33.51,6.9,UberEats,Lyft
ddce1b91-2201-4920-a6b3-250c89f3ba93,East Cody,South Georgia and the South Sandwich Islands,Australia,8370535,Banned,High,35901,441625,96.37,9.09,UberEats,Grab
